episode,MSE,MAE
705,56.1999,4.3527
706,56.1212,4.3475
707,56.0833,4.3479
708,56.0486,4.3478
709,55.9782,4.3442
710,55.9197,4.3419
711,55.9094,4.3455
712,55.8597,4.3449
713,55.8664,4.3450
714,55.7933,4.3411
715,55.7705,4.3436
716,55.8510,4.3483
717,55.7810,4.3450
718,55.7472,4.3444
719,55.7207,4.3449
720,55.6460,4.3405
721,56.1029,4.3575
722,56.0253,4.3515
723,55.9558,4.3478
724,55.8791,4.3424
725,55.8098,4.3390
726,55.7368,4.3346
727,55.7516,4.3351
728,55.6887,4.3328
729,55.7766,4.3379
730,55.9045,4.3457
731,55.8625,4.3449
732,55.7868,4.3396
733,55.7484,4.3389
734,55.7451,4.3400
735,55.6808,4.3370
736,55.6905,4.3387
737,55.9844,4.3444
738,55.9838,4.3448
739,55.9877,4.3461
740,56.0097,4.3475
741,55.9993,4.3490
742,55.9908,4.3513
743,56.0445,4.3572
744,55.9695,4.3519
745,56.0367,4.3554
746,55.9629,4.3504
747,55.8886,4.3453
748,55.8362,4.3430
749,55.7630,4.3382
750,55.6981,4.3359
751,55.7158,4.3357
752,55.6429,4.3307
753,55.5695,4.3255
754,55.4982,4.3211
755,55.4486,4.3206
756,55.4018,4.3208
757,55.3763,4.3208
758,55.3444,4.3206
759,56.0058,4.3382
760,55.9333,4.3333
761,55.9315,4.3350
762,55.9278,4.3339
763,55.9162,4.3339
764,55.8526,4.3313
765,55.8057,4.3314
766,55.8269,4.3344
767,55.7565,4.3302
768,55.7762,4.3339
769,55.7999,4.3351
770,55.8227,4.3372
771,55.7591,4.3342
772,55.7115,4.3326
773,55.6951,4.3333
774,55.6239,4.3285
775,55.6635,4.3338
776,55.5919,4.3282
777,55.5225,4.3239
778,55.4988,4.3232
779,55.4711,4.3228
780,55.5301,4.3269
781,55.4596,4.3220
782,55.4474,4.3215
783,55.3959,4.3201
784,55.4739,4.3250
785,55.4144,4.3220
786,55.3845,4.3222
787,55.3514,4.3217
788,55.2840,4.3174
789,55.2827,4.3192
790,55.2157,4.3153
791,55.4007,4.3224
792,55.4446,4.3262
793,55.4747,4.3273
794,55.5140,4.3301
795,55.5256,4.3320
796,55.5869,4.3357
797,55.5428,4.3328
798,55.4796,4.3298
799,55.4226,4.3281
800,55.3600,4.3252
801,55.3717,4.3276
802,55.3060,4.3239
803,55.2446,4.3203
804,55.4400,4.3256
805,55.3882,4.3239
806,55.3594,4.3234
807,55.2953,4.3197
808,55.6130,4.3302
809,55.5457,4.3255
810,55.5255,4.3247
811,55.4612,4.3209
812,55.3957,4.3170
813,55.4907,4.3193
814,55.4302,4.3164
815,55.3627,4.3117
816,55.3771,4.3135
817,55.3552,4.3130
818,55.2916,4.3092
819,55.2842,4.3107
820,55.2194,4.3070
821,55.2224,4.3096
822,55.1826,4.3078
823,55.2486,4.3133
824,55.2310,4.3151
825,55.1829,4.3138
826,55.1180,4.3095
827,55.0541,4.3055
828,55.0748,4.3091
829,55.0163,4.3062
830,54.9752,4.3055
831,54.9635,4.3056
832,55.0466,4.3119
833,54.9834,4.3084
834,55.0993,4.3089
835,55.0889,4.3076
836,55.1060,4.3086
837,55.2458,4.3157
838,55.1860,4.3130
839,55.2656,4.3155
840,55.4100,4.3212
841,55.3852,4.3218
842,55.5922,4.3285
843,55.5296,4.3251
844,55.5997,4.3294
845,55.5538,4.3282
846,55.5041,4.3254
847,55.4485,4.3236
848,55.7606,4.3321
849,55.7138,4.3302
850,55.7206,4.3310
851,55.6773,4.3301
852,55.6529,4.3287
853,55.5878,4.3236
854,55.5290,4.3211
855,55.4667,4.3176
856,55.4157,4.3155
857,55.3681,4.3146
858,55.3050,4.3106
859,55.2951,4.3116
860,55.2355,4.3085
861,55.1798,4.3056
862,55.3664,4.3138
863,55.3043,4.3102
864,55.2559,4.3077
865,55.2673,4.3110
866,55.2067,4.3077
867,55.1761,4.3077
868,55.1219,4.3058
869,55.1515,4.3091
870,55.1102,4.3082
871,55.2199,4.3165
872,55.2678,4.3209
873,55.2594,4.3221
874,55.1992,4.3184
875,55.1381,4.3148
876,55.0753,4.3102
877,55.0126,4.3053
878,54.9682,4.3034
879,54.9100,4.3001
880,54.8680,4.2999
881,55.0586,4.3062
882,55.1244,4.3102
883,55.5612,4.3228
884,55.5509,4.3247
885,55.8021,4.3303
886,55.7538,4.3276
887,55.6916,4.3234
888,55.7423,4.3267
889,55.6931,4.3244
890,55.6817,4.3245
891,55.7876,4.3294
892,55.8048,4.3293
893,55.8027,4.3295
894,55.7502,4.3268
895,55.7559,4.3271
896,55.7779,4.3301
897,55.7174,4.3262
898,55.6564,4.3221
899,55.5945,4.3173
900,55.5622,4.3174
901,55.5095,4.3151
902,55.4566,4.3133
903,55.4271,4.3139
904,55.3689,4.3105
905,55.3536,4.3114
906,55.3844,4.3157
907,55.3644,4.3152
908,55.6447,4.3261
909,55.5860,4.3229
910,55.5261,4.3192
911,55.4656,4.3149
912,55.4413,4.3144
913,55.4670,4.3178
914,55.5449,4.3231
915,55.6244,4.3294
916,55.6090,4.3297
917,55.6662,4.3328
918,55.6190,4.3313
919,55.5903,4.3315
920,55.5405,4.3291
921,55.5514,4.3314
922,55.5287,4.3305
923,55.4796,4.3284
924,55.4247,4.3256
925,55.5140,4.3302
926,55.4588,4.3277
927,55.4067,4.3257
928,55.6428,4.3379
929,55.6092,4.3358
930,55.5630,4.3334
931,55.5610,4.3359
932,55.5037,4.3325
933,55.4547,4.3310
934,55.5973,4.3360
935,55.5402,4.3327
936,55.6303,4.3371
937,55.5713,4.3330
938,55.5141,4.3297
939,55.4885,4.3295
940,55.4448,4.3284
941,55.3885,4.3254
942,55.3450,4.3236
943,55.4530,4.3301
944,55.4752,4.3336
945,55.5561,4.3395
946,55.5780,4.3413
947,55.5525,4.3392
948,55.5118,4.3375
949,55.5327,4.3405
950,55.5006,4.3404
951,55.4915,4.3425
952,55.4653,4.3414
953,55.4309,4.3406
954,55.3805,4.3375
955,55.3786,4.3381
956,55.5245,4.3435
957,55.4869,4.3434
958,55.7368,4.3504
959,55.7078,4.3506
960,55.6575,4.3482
961,55.6397,4.3496
962,55.5910,4.3478
963,55.5477,4.3471
964,55.4920,4.3439
965,55.6819,4.3515
966,55.6284,4.3488
967,55.6324,4.3515
968,55.5779,4.3483
969,55.5408,4.3475
970,55.5241,4.3490
971,55.5076,4.3499
972,55.5476,4.3542
973,55.5406,4.3536
974,55.5659,4.3574
975,55.5278,4.3558
976,55.4990,4.3553
977,55.4493,4.3528
978,55.3928,4.3487
979,55.5125,4.3530
980,55.4706,4.3516
981,55.4227,4.3493
982,55.4058,4.3499
983,55.3722,4.3498
984,55.5147,4.3536
985,55.4801,4.3525
986,55.5507,4.3560
987,55.5175,4.3554
988,55.4666,4.3532
989,55.4842,4.3555
990,55.4360,4.3537
991,55.3803,4.3497
992,55.3309,4.3473
993,55.2857,4.3457
994,55.4082,4.3509
995,55.4103,4.3524
996,55.4116,4.3524
997,55.3565,4.3485
998,55.3317,4.3473
